"Participant","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Gender","Age","SexualOrientation","Ethnicity","Feedback_BigDifferenceRealAI","Feedback_SmallDifferenceRealAI","Feedback_NoDifferenceRealAI","Feedback_LabelsNotCorrect","Feedback_LabelsReversed","Feedback_LabelsAllPhotos","Feedback_LabelsAllAI","Feedback_ConfidenceReal","Feedback_ConfidenceFake","Experiment_Enjoyment","Experiment_Quality","Experiment_Unusual","Experiment_PerceptionChange","Experiment_Feedback","BAIT_AI_Knowledge","BAIT_AI_Use","BAIT_5_ImitatingReality","BAIT_3_VideosIssues","BAIT_12_Benefit","BAIT_9_Dangerous","BAIT_11_Exciting","BAIT_2_ImagesIssues","BAIT_13_ArtIssues","BAIT_10_Worry","BAIT_6_EnvironmentReal","BAIT_8_TextIssues","BAIT_14_ArtRealistic","BAIT_AttentionCheck","BAIT_7_TextRealistic","BAIT_1_ImagesRealistic","BAIT_4_VideosRealistic","MIST_fake_general_4","MIST_real_general_3","MIST_real_general_4","MIST_real_general_2","MIST_real_general_1","MIST_fake_general_2","MIST_fake_general_1","MIST_fake_general_3","BRS_5","BRS_1","BRS_20","BRS_10","BRS_7","BRS_8","BRS_3","BRS_2","BRS_18","BRS_19","BRS_15","BRS_14","BRS_13","BRS_Attention","BRS_12","BRS_4","BRS_17","BRS_11","BRS_6","BRS_9","BRS_16","Task_AttentionCheck"
"S059",2025-09-30 09:24:35,24.7591833333333,"edge-chromium 140.0.0","false","Windows 10",1280,720,"Non-binary",19,"Bisexual","White",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,1,"Never",3,4,2,5,2,2,5,6,3,4,1,6,2,3,3,-79,88,59,42,13,-47,36,30,2,2,5,2,1,3,2,1,5,5,4,3,5,1,2,4,5,4,2,2,1,0.666666666666667
"S065",2025-09-30 09:26:27,20.3029333333333,"safari 18.6.0","false","Mac OS",1710,1069,"Woman",20,"Heterosexual","White",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,2,"A few times per month",4,3,3,5,4,3,4,4,4,5,4,6,6,6,6,-87,-12,96,25,-19,36,53,-65,1,1,2,2,1,3,1,3,5,4,3,3,4,2,2,3,4,5,1,1,3,0.777777777777778
"S029",2025-09-29 13:21:07,23.1093333333333,"chrome 139.0.0","false","Windows 10",1920,1080,"Female",20,"Bisexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"Never",3,3,0,6,3,2,6,6,3,5,0,6,1,4,4,-65,26,21,13,-9,-55,19,-44,3,3,3,3,2,3,3,2,3,4,5,4,5,1,4,3,1,1,4,2,4,1
"S012",2025-09-29 13:19:15,26.6053,"chrome 140.0.0","false","Windows 10",1920,1080,"Male",19,"Heterosexual","Mixed",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,3,"A few times per month",4,5,3,4,6,5,6,5,4,6,0,6,0,3,4,-100,100,100,-100,100,-100,100,-100,1,1,3,1,1,1,1,1,1,1,5,2,5,1,1,1,5,1,1,1,5,0.666666666666667
"S032",2025-09-29 13:22:06,21.8468166666667,"chrome 140.0.0","false","Windows 10",1280,720,"Female",19,"Heterosexual","White",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"A few times per month",2,4,3,3,3,5,6,3,2,2,3,6,3,4,3,-64,64,68,37,-64,51,59,24,3,3,4,4,2,3,3,3,3,5,4,4,5,1,5,3,3,4,2,2,2,1
"S099",2025-09-30 16:16:01,26.0105166666667,"chrome 140.0.0","false","Windows 10",1280,720,"Woman",20,"Heterosexual","White",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3,NA,3,NA,NA,NA,NA,4,"A few times per month",4,4,3,2,3,2,5,5,4,4,4,6,3,4,3,40,50,98,38,-57,21,26,79,2,3,2,3,3,2,2,1,4,5,5,5,4,1,3,1,3,4,2,1,4,0.888888888888889
"S117",2025-09-30 18:19:01,20.8869333333333,"chrome 139.0.0","false","Windows 10",1920,1080,"Woman",21,"Bisexual","South Asian",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,4,NA,3,NA,NA,NA,NA,1,"A few times per month",5,1,5,5,4,3,4,5,5,5,5,4,2,6,6,-7,91,19,36,76,17,-9,28,3,3,5,1,4,4,4,2,5,4,5,5,5,4,5,4,1,4,4,5,5,0.777777777777778
"S090",2025-09-30 16:15:05,25.0091666666667,"chrome 140.0.0","false","Windows 10",1463,915,"Man",20,"Heterosexual","South Asian",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,1,NA,NA,NA,"the face part almost put me to sleep",4,"Never",0,6,0,6,0,6,6,6,3,6,0,6,0,6,5,63,-30,100,-47,-59,-97,50,63,1,2,1,1,1,5,1,1,4,3,5,5,5,1,1,1,3,5,1,1,1,1
"S081",2025-09-30 16:14:47,29.7273833333333,"chrome 138.0.0","false","Windows 10",1536,864,"Woman",21,"Bisexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,4,4,NA,NA,NA,NA,0,"A few times per month",3,2,3,3,4,2,2,3,5,5,5,6,4,5,5,-10,14,50,-29,-17,15,11,18,4,3,4,4,3,5,3,5,2,5,3,5,5,5,5,4,5,4,3,3,4,0.777777777777778
"S098",2025-09-30 16:15:56,39.0629833333333,"chrome 140.0.0","false","Windows 10",1536,864,"Woman",20,"Bisexual","White",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,"This has been the most impactful study I have participated in since starting university. I think this research is on such an important topic and I look forward to seeing the published results. ",2,"A few times per month",1,5,4,5,6,2,5,6,4,2,0,6,4,6,2,59,63,64,23,20,81,-43,-41,3,3,4,1,3,5,4,2,5,5,4,5,5,1,5,1,4,4,1,2,5,0.777777777777778
"S017",2025-09-29 13:19:29,27.15915,"chrome 140.0.0","false","Windows 10",1536,864,"Female",20,"Heterosexual","White",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"Never",1,2,0,6,1,2,5,6,3,5,1,6,2,4,5,-70,-22,40,20,-50,50,-60,-71,1,4,2,1,1,1,1,1,4,3,2,4,3,1,3,1,1,2,1,1,2,1
"S008",2025-09-29 13:19:07,23.50185,"chrome 140.0.0","false","Windows 10",1920,1080,"Female",21,"Heterosexual","Mixed",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,3,4,NA,NA,NA,NA,3,"A few times per month",2,3,1,6,3,5,6,6,5,4,5,6,5,4,5,-44,18,5,-16,26,-28,31,21,1,3,5,2,3,4,5,3,1,5,2,5,2,1,4,1,3,5,2,3,4,0.777777777777778
"S016",2025-09-29 13:19:28,25.1458333333333,"chrome 140.0.0","false","Windows 10",1280,720,"Female",19,"Heterosexual","White",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,1,NA,NA,NA,NA,3,"A few times per month",5,4,3,4,4,3,6,4,6,4,3,6,3,5,5,34,-37,-68,56,-31,24,49,-58,4,3,2,3,5,3,4,3,3,3,4,3,4,3,4,3,4,2,4,5,3,0.888888888888889
"S075",2025-09-30 16:14:37,24.842,"chrome 139.0.0","false","Windows 10",1920,1080,"Woman",20,"Heterosexual","White",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3,NA,3,NA,NA,NA,NA,3,"A few times per month",3,5,4,2,5,5,6,4,5,5,1,6,4,5,5,-21,-8,22,-10,-18,-18,0,-38,3,3,4,4,3,3,4,3,4,4,4,5,4,1,4,2,2,1,4,3,4,0.888888888888889
"S053",2025-09-30 09:23:11,29.41445,"chrome 140.0.0","false","Chrome OS",1410,940,"Woman",20,"Heterosexual","White",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,NA,4,NA,NA,NA,NA,2,"A few times per week",4,5,2,5,0,4,5,6,4,3,2,6,3,5,4,-93,91,21,-8,48,-78,-5,-88,1,4,4,1,2,3,3,1,5,4,2,5,3,1,3,1,2,4,1,1,3,1
