"Participant","Age","Gender","AttractivenessBias","BAIT","MIST","BRS","AttentionChecks"
"S113",19,"Woman",0.0991666666666666,1.64285714285714,0.5,1.6,0.5
"S114",23,"Woman",0.0244444444444445,3.71428571428571,0.5,4.1,1
"S115",19,"Woman",0.0313888888888889,2.64285714285714,0.375,2.4,0.5
"S116",20,"Man",-0.128055555555556,3,0.5,2.7,0
"S117",22,"Woman",-0.00611111111111107,2.28571428571429,0.625,1.7,1
"S118",20,"Woman",-0.0119444444444445,2.14285714285714,0.625,1.6,1
"S119",19,"Woman",0.0347222222222223,0.714285714285714,0.75,1.2,1
"S120",19,"Woman",0.148055555555555,2.14285714285714,0.375,1.9,1
"S121",20,"Woman",0.0380555555555555,2.21428571428571,0.5,1.8,1
"S122",19,"Woman",-0.0405555555555556,2.71428571428571,0.375,2.3,0.5
"S123",19,"Woman",-0.0555555555555556,3.21428571428571,0.5,3.1,1
"S124",19,"Woman",-0.0708333333333333,3,0.625,1.5,1
"S125",19,"Woman",0.00611111111111112,1.85714285714286,0.375,2.3,1
"S126",19,"Woman",0.0202777777777778,3.14285714285714,0.375,3.1,0.5
"S127",19,"Non-binary",0.113611111111111,3.64285714285714,0.25,3.4,0
"S128",20,"Woman",-0.0516666666666667,2.85714285714286,0.375,2.3,1
"S129",20,"Woman",0.00611111111111112,3.92857142857143,0.25,1.3,1
"S130",20,"Woman",0.00694444444444442,3,0.375,3.2,1
"S131",19,"Woman",0.00972222222222224,3.5,0.5,3.2,0
"S132",29,"Woman",0.2475,1.92857142857143,0.25,2,1
"S133",20,"Non-binary",-0.0119444444444445,1.78571428571429,0.625,2.5,1
"S134",19,"Woman",-0.0316666666666666,3.07142857142857,0.375,3.2,0
"S135",20,"Woman",-0.0652777777777778,2.57142857142857,0.25,1.6,1
"S136",19,"Woman",0.0855555555555556,2.07142857142857,0.375,3,1
"S137",20,"Woman",0.0725,3,0.5,4.1,0.5
"S138",21,"Woman",0.0325000000000001,2.42857142857143,0.625,3.3,1
"S139",100,"Woman",0.0405555555555556,3.5,0.5,3.5,1
"S140",21,"Woman",0.00666666666666671,2.64285714285714,0.25,3.1,0
"S141",18,"Woman",-0.0502777777777778,2.64285714285714,0.5,2.1,1
"S142",20,"Man",-0.0108333333333334,3.21428571428571,0.375,2.9,1
"S143",21,"Man",0.0216666666666667,2.28571428571429,0.5,3.4,1
"S144",19,"Man",0.0447222222222222,2.57142857142857,0.5,1.8,1
"S145",19,"Man",0.121388888888889,2.21428571428571,0.375,3,0.5
"S146",19,"Woman",0.121111111111111,1.78571428571429,0.375,3.7,1
"S147",24,"Woman",-0.0219444444444444,2.14285714285714,0.625,3.7,1
"S148",19,"Woman",-0.0736111111111111,3.07142857142857,0.75,2.6,1
"S149",19,"Woman",0.0952777777777778,2,0.625,2.2,1
"S150",20,"Woman",0.0811111111111111,1.85714285714286,0.5,2.5,1
"S151",30,"Woman",0.0127777777777778,3.14285714285714,0.625,1.8,1
"S152",19,"Woman",0.05,0.428571428571429,0.5,3.1,1
"S153",20,"Woman",-0.104722222222222,3.21428571428571,0.625,2.2,1
"S154",20,"Woman",-0.0380555555555556,3.64285714285714,0.25,2.8,0
"S155",20,"Man",0.0219444444444444,2,0.5,2.6,0
"S156",19,"Woman",0.00694444444444442,1.42857142857143,0.125,3.5,1
"S157",22,"Woman",0.0238888888888889,2.21428571428571,0.375,2.3,1
"S158",21,"Woman",0.0580555555555555,3.28571428571429,0.5,2.9,1
"S159",20,"Woman",-0.0555555555555556,2.92857142857143,0.5,3,1
"S160",20,"Woman",0.0802777777777778,3.64285714285714,0.125,1.9,1
"S161",20,"Woman",0.0541666666666667,1.92857142857143,0.625,2.1,1
"S162",20,"Woman",-0.00222222222222218,3.07142857142857,0.25,3.8,1
"S163",19,"Woman",0.0463888888888889,2.5,0.5,1.8,1
"S164",19,"Woman",0.0283333333333333,2.14285714285714,0.5,1.6,1
"S165",20,"Man",-0.103611111111111,2.64285714285714,0.625,2,1
"S166",19,"Woman",0.0141666666666667,1.07142857142857,0.5,2.4,1
"S167",20,"Woman",0.0113888888888889,3.71428571428571,0.5,3.5,1
"S168",20,"Woman",0.0180555555555556,2.92857142857143,1,1,0.5
"S169",19,"Woman",0.000833333333333353,2.92857142857143,0.625,1.8,1
"S170",19,"Woman",0.0952777777777777,2.28571428571429,0.625,3.2,1
"S171",20,"Woman",0.0827777777777777,2.92857142857143,0.625,3.1,1
"S172",21,"Woman",-0.0619444444444445,2.71428571428571,0.625,1.9,1
"S173",20,"Woman",0.195,1.92857142857143,0.375,1.3,1
"S174",21,"Man",-0.0133333333333333,3.07142857142857,0.375,2.4,0
"S175",19,"Man",0.00222222222222224,2.35714285714286,0.75,1.8,1
"S176",19,"Woman",0.0683333333333332,2.14285714285714,0.25,1.8,1
"S177",21,"Woman",0.154722222222222,2.42857142857143,0.5,1.9,1
"S178",20,"Woman",-0.0883333333333333,2.5,0.375,3.7,1
"S179",19,"Woman",0.0525,2.21428571428571,0.375,3.5,1
"S180",20,"Woman",0.00138888888888888,2.14285714285714,0.625,3.2,1
"S181",20,"Woman",0.0163888888888889,2.5,0.25,2.1,1
"S182",20,"Woman",0.102222222222222,3.14285714285714,0.375,2.9,1
"S183",19,"Woman",0.1575,2.64285714285714,0.125,2.9,1
"S184",20,"Woman",0.0180555555555555,2.35714285714286,0.5,2.7,1
"S185",19,"Woman",-0.113333333333333,3.42857142857143,0.625,2.6,1
"S186",20,"Woman",0.117777777777778,2.21428571428571,0.625,3,1
"S187",21,"Woman",0.0627777777777778,2.14285714285714,0.375,2.9,1
"S188",33,"Woman",-0.0977777777777778,3.5,0.625,3,1
"S189",19,"Woman",0.0277777777777778,2.57142857142857,0.5,4.1,0.5
"S190",20,"Woman",0.0208333333333333,3.14285714285714,0.5,1.6,1
"S191",20,"Man",0.0538888888888889,2.64285714285714,0.375,2.4,1
"S192",19,"Woman",0.00972222222222224,1.14285714285714,0.375,3.3,1
"S193",24,"Man",0.0997222222222222,3.64285714285714,0.5,2.2,1
"S194",19,"Woman",0.127777777777778,1.64285714285714,0.5,1.4,1
"S195",31,"Woman",-0.000833333333333353,2.85714285714286,0.25,2.3,1
"S196",20,"Woman",0.0605555555555555,2.92857142857143,0.375,3.2,1
"S197",20,"Woman",-0.0116666666666667,3.71428571428571,0.375,3,1
"S198",19,"Woman",0.0966666666666667,2.5,0.5,2.2,1
"S199",20,"Woman",0.0344444444444445,3.42857142857143,0.625,3.3,0.5
"S200",20,"Woman",0.0455555555555556,1.78571428571429,0.375,2.5,1
"S201",19,"Woman",-0.0166666666666667,3.21428571428571,0.5,2.1,1
"S202",19,"Woman",0.0594444444444445,2.21428571428571,0.5,2.9,1
"S203",19,"Woman",0.0133333333333333,3.35714285714286,0.375,1.2,1
"S204",19,"Woman",0.00500000000000006,2.21428571428571,0.375,2.8,1
"S205",20,"Woman",0.0766666666666667,2.85714285714286,0.625,1.8,1
"S206",19,"Woman",0.0761111111111111,3.14285714285714,0.75,2.8,0.5
"S207",20,"Woman",0.0694444444444444,3.07142857142857,0.5,3.6,1
"S208",20,"Woman",0.0822222222222222,2.71428571428571,0.625,1.9,1
"S209",20,"Woman",0.0555555555555556,3.07142857142857,0.5,2.8,1
"S210",19,"Woman",0.0175,3,0.5,3.1,1
"S211",21,"Man",-0.0802777777777778,2.85714285714286,0.25,2,1
"S212",19,"Woman",-0.0108333333333333,2.28571428571429,0.5,2.9,1
"S213",20,"Non-binary",-0.0141666666666667,2.71428571428571,0.375,3,1
"S214",20,"Woman",-0.0397222222222222,2.71428571428571,0.375,1.4,1
"S215",20,"Woman",-0.0191666666666668,3.07142857142857,0.625,1.7,1
"S216",20,"Man",-0.00583333333333336,2.71428571428571,0.125,2,1
"S217",19,"Man",0.0147222222222222,3.35714285714286,0.5,2.6,1
"S218",20,"Man",0.00750000000000001,2.85714285714286,0.5,2.2,1
"S219",19,"Woman",0.0152777777777778,2.35714285714286,0.5,2.8,1
"S220",20,"Woman",0.03,3.57142857142857,0.25,2.8,1
"S221",21,"Woman",-0.0475,3.21428571428571,0.375,3.2,0.5
"S222",20,"Man",0.0202777777777778,2.78571428571429,0.375,2.9,1
"S223",19,"Woman",-0.0180555555555556,2.71428571428571,0.5,1.8,1
"S224",19,"Woman",0.015,3.92857142857143,0.375,1.8,1
"S225",19,"Man",0.00277777777777777,3.14285714285714,0.5,1.7,1
"S226",20,"Woman",0.0411111111111111,2.42857142857143,0.625,3.5,0
"S227",19,"Woman",0.00277777777777777,2,0.5,2.6,1
"S228",41,"Man",-0.0588888888888889,2.28571428571429,0.375,1.8,1
"S229",21,"Woman",0.100555555555556,2.28571428571429,0.375,2.3,1
